rocks,amounts seen
Corundum,937
Pegmatite,935
Limonite,935
Onyx,931
Dolomite,931
Muscovite,929
Marble,917
Tourmaline Group,916
Scoria,915
Lignite,913
Chert,912
Travertine,908
Jasper,907
Talc,905
Hornblende,905
Gabbro,903
Conglomerate,903
Epidote,897
Magnetite,896
Fossiliferous Limestone,896
Diatomite,896
Selenite,895
Granite,894
Breccia,894
Graphite,890
Mica Schist,889
Azurite,889
Diorite,888
Rhyolite,887
Sandstone,885
Hematite,885
Aragonite,885
Oolite,884
Diamond,882
Basalt,881
Phyllite,879
Silver,874
Barite,873
Sphalerite,871
Amethyst,871
Apatite,870
Anthracite,870
Albite,870
Chalk,869
Sodalite,867
Dolostone,867
Chalcedony,867
Beryl,867
Andesite,867
Lepidolite,866
Arkose,866
Almandine,866
Alabaster,866
Rock Crystal,865
Olivine,865
Orthoclase,863
Fluorite,863
Bituminous Coal,861
Calcite,860
Augite,860
Microcline,859
Kaolinite,859
Garnet Schist,858
Milky Quartz,857
Gold,855
Rhodonite,854
Topaz,852
Satin Spar,852
Celestine,852
Pyrite,849
Gneiss,849
Ulexite,848
Slate,848
Citrine,848
Coquina,847
Bornite,846
Amazonite,846
Malachite,845
Halite,845
Pumice,843
Chalcopyrite,843
Agate,842
Staurolite,839
Shale,839
Obsidian,839
Goethite,839
Bauxite,837
Sulfur,836
Rose Quartz,828
Opal,828
Copper,828
Tremolite,827
Biotite,817
Quartzite,814
